City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Lebu,CL,-37.6167,-73.65,52.57,78,0,17.31,clear sky
1,Ust-Omchug,RU,61.15,149.6333,-16.2,79,100,0.43,overcast clouds
2,Port Elizabeth,ZA,-33.918,25.5701,62.89,72,0,6.91,clear sky
3,Bubaque,GW,11.2833,-15.8333,82.71,70,71,12.8,broken clouds
4,Atuona,PF,-9.8,-139.0333,78.53,72,99,19.39,overcast clouds
5,Hithadhoo,MV,-0.6,73.0833,81.68,71,97,17.2,overcast clouds
6,South Venice,US,27.0531,-82.4243,62.62,59,1,5.75,clear sky
7,Mataura,NZ,-46.1927,168.8643,68.74,29,0,2.21,clear sky
8,De-Kastri,RU,51.4667,140.7833,21.11,80,100,5.53,overcast clouds
9,Alofi,NU,-19.0595,-169.9187,78.69,94,96,4.61,light rain
10,Kapaa,US,22.0752,-159.319,76.15,70,1,10.6,clear sky
11,Mar Del Plata,AR,-38.0023,-57.5575,62.62,88,0,16.11,light rain
12,Hilo,US,19.7297,-155.09,75.02,79,41,3.56,scattered clouds
13,Puerto Madryn,AR,-42.7692,-65.0385,58.8,70,0,11.52,clear sky
14,Asau,RO,46.4333,26.4,32.92,77,10,3.94,clear sky
15,Ushuaia,AR,-54.8,-68.3,51.46,43,20,10.36,light rain
16,Albany,US,42.6001,-73.9662,25.41,66,5,8.95,clear sky
17,Myski,RU,53.709,87.8014,25.09,72,100,14.61,overcast clouds
18,Sitka,US,57.0531,-135.33,35.49,87,90,5.75,light rain
19,Esperance,AU,-33.8667,121.9,73.24,43,0,9.78,clear sky
20,Binga,ZW,-17.6203,27.3414,74.48,63,2,7.76,clear sky
21,Saint-Augustin,CA,51.226,-58.6502,43.59,80,17,14.99,few clouds
22,Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
23,Bluff,NZ,-46.6,168.3333,54.39,55,1,5.68,clear sky
24,Port Alfred,ZA,-33.5906,26.891,66.07,71,96,9.82,overcast clouds
25,Berlevag,NO,70.8578,29.0864,19.45,86,46,15.26,scattered clouds
26,Rikitea,PF,-23.1203,-134.9692,76.6,73,24,15.68,few clouds
27,Butaritari,KI,3.0707,172.7902,82.29,72,50,18.41,scattered clouds
28,Kamenka,RU,51.3223,42.7678,36.75,95,100,14.92,overcast clouds
29,Saskylakh,RU,71.9167,114.0833,-3.87,93,98,10.27,overcast clouds
30,Lata,PT,40.1629,-8.3327,43.21,76,23,3.83,few clouds
31,Saquena,PE,-4.6667,-73.5167,77.43,86,100,1.43,overcast clouds
32,Aripuana,BR,-9.1667,-60.6333,72.91,98,40,1.99,scattered clouds
33,Tigil,RU,57.8,158.6667,-1.26,96,80,3.76,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,53.71,54,75,6.91,light intensity shower rain
35,Hobart,AU,-42.8794,147.3294,66.06,45,20,9.22,few clouds
36,Adrar,MR,20.5022,-10.0711,63.9,30,10,14.47,clear sky
37,Muswellbrook,AU,-32.2667,150.9,58.48,91,100,6.6,overcast clouds
38,Jamestown,US,42.097,-79.2353,27.99,97,100,7.4,light snow
39,Bredasdorp,ZA,-34.5322,20.0403,64.98,72,42,14.85,scattered clouds
